Number,Detail,ChoiceA,ChoiceB,ChoiceC,ChoiceD,ChoiceE,Needed
1,The organisation has a good understanding of how appetite may be different for different company objectives when balancing risk and the operational cost/impact of cybersecurity measures,strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
2,The organisaiton will only accept low or lower risks.,strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
3,The organisation will accept upto medium or lower risks.,strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
4,The organisation will accept upto high or lower risks.,strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
5,The organisation will spend what ever it takes to reduce the risk to an aceptable level.,strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
6,"Enabling timely, reliable, and continuous access to and use of information and systems to support operations and to comply with applicable laws and regulations.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
7,"Enabling timely, reliable, and continuous access to and use of information and systems and to meet contractual obligations and other commitments.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
8,"Enabling timely, reliable, and continuous access to and use of information and systems and to provide goods and services to customers without disruption.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
9,"Enabling timely, reliable, and continuous access to and use of information and systems and to safeguard entity assets and assets held in custody for others.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
10,"Enabling timely, reliable, and continuous access to and use of information and systems and to  facilitate decision making in a timely manner.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
11,"Protecting information from unauthorized access and disclosure, including means for protecting proprietary information and personal information subject to privacy requirements, to comply with applicable laws and regulations meet contractual obligations and other commitment.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
12,"Protecting information from unauthorized access and disclosure, including means for protecting proprietary information and personal information subject to privacy requirements, to",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
13,"Protecting information from unauthorized access and disclosure, including means for protecting proprietary information and personal information subject to privacy requirements, to safeguard the informational assets of an entity.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
14,"Guarding against improper capture, modification or destruction of information to support the preparation of reliable financial information for external reporting purposes.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
15,"Guarding against improper capture, modification or destruction of information to support the preparation of reliable nonfinancial information for external reporting purposes.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
16,"Guarding against improper capture, modification or destruction of information to support the preparation of reliable information for internal use.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
17,"Guarding against improper capture, modification or destruction of information to support the Information nonrepudiation and authenticity.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
18,"Guarding against improper capture, modification or destruction of information to support the completeness, accuracy, and timeliness of processing.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
19,"Guarding against improper capture, modification or destruction of information to support the  Management, in holding employees and users accountable for their actions.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
20,"Guarding against improper capture, modification or destruction of information to support the fstorage, processing, and disclosure of information, including personal and third-party information.",strongly agree,somewhat agree,neutral/no opinion,somewhat disagree,strongly disagree,NA
